taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation,
54419,SPECIES,COUNTRY,TJ,20130,CMS,
54419,SPECIES,COUNTRY,TH,20130,CMS,
54419,SPECIES,COUNTRY,TM,20130,CMS,
54419,SPECIES,COUNTRY,TR,20130,CMS,
54419,SPECIES,COUNTRY,UA,20130,CMS,
54419,SPECIES,COUNTRY,UZ,20130,CMS,
54419,SPECIES,COUNTRY,VN,20130,CMS,
11681,SPECIES,COUNTRY,DZ,20130,CMS,
11681,SPECIES,COUNTRY,MA,20130,CMS,
11681,SPECIES,COUNTRY,PT,20130,CMS,
11681,SPECIES,COUNTRY,ES,20130,CMS,
11681,SPECIES,TERRITORY,GI,20130,CMS,
11681,SPECIES,COUNTRY,MR,20130,CMS,
