Kingdom,SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes,,,,,,,,,,,,,,
Animalia,519,II,18/01/1990 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,535,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,536,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,537,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,538,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,544,II,04/02/1977 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,544,II,28/06/1979 00:00,NULL,Included with FALCONIFORMES spp.,,,,,,,,,,,,,,
Animalia,660,II/r,06/06/1981 00:00,122,NULL,,,,,,,,,,,,,,
Animalia,660,II,06/06/1981 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,660,II/r,06/06/1981 00:00,203,NULL,,,,,,,,,,,,,,
Animalia,661,II/r,06/06/1981 00:00,203,NULL,,,,,,,,,,,,,,
Animalia,661,II,06/06/1981 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,661,II/r,06/06/1981 00:00,122,NULL,,,,,,,,,,,,,,
Animalia,662,II/r,06/06/1981 00:00,203,NULL,,,,,,,,,,,,,,
Animalia,662,II,06/06/1981 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,662,II/r,06/06/1981 00:00,122,NULL,,,,,,,,,,,,,,
Animalia,663,II/r,06/06/1981 00:00,122,NULL,,,,,,,,,,,,,,
