Date,Manual ID,Title,Lang,Master Document ID,Volume,Type,General/ Part,PDF Filename trimmed
1985,A-303.016.001.010,Manual de identificación de la CITES - Varanus gilleni,ES,A-303.016.001.010,3,CITES ID Manual,General,A-303.016.001.010 Varanus gilleni_S.pdf
1985,A-303.016.001.011,CITES ID Manual - Varanus glauerti,EN,,3,CITES ID Manual,General,A-303.016.001.011 Varanus glauerti_EN.pdf
1985,A-303.016.001.011,Manual de identificación de la CITES - Varanus glauerti,ES,A-303.016.001.011,3,CITES ID Manual,General,A-303.016.001.011 Varanus glauerti_S.pdf
1985,A-303.016.001.012,CITES ID Manual - Varanus glebopalma,EN,,3,CITES ID Manual,General,A-303.016.001.012 Varanus glebopalma_EN.pdf
1985,A-303.016.001.012,Manual de identificación de la CITES - Varanus glebopalma,ES,A-303.016.001.012,3,CITES ID Manual,General,A-303.016.001.012 Varanus glebopalma_S.pdf
1985,A-303.016.001.013,CITES ID Manual - Varanus gouldii,EN,,3,CITES ID Manual,General,A-303.016.001.013 Varanus gouldii_EN.pdf
1985,A-303.016.001.013,Manual de identificación de la CITES - Varanus gouldii,ES,A-303.016.001.013,3,CITES ID Manual,General,A-303.016.001.013 Varanus gouldii_S.pdf
1986,A-303.016.001.014,CITES ID Manual - Varanus olivaceus,EN,,3,CITES ID Manual,General,A-303.016.001.014 Varanus grayi_EN.pdf
1986,A-303.016.001.014,Manual de identificación de la CITES - Varanus olivaceus,ES,A-303.016.001.014,3,CITES ID Manual,General,A-303.016.001.014 Varanus olivaceus_S.pdf
1986,A-303.016.001.014,Manuel d'identification de la CITES - Varanus olivaceus,FR,A-303.016.001.014,3,CITES ID Manual,General,A-303.016.001.014 Varanus olivaceus_F.pdf
1986,A-303.016.001.015,CITES ID Manual - Varanus griseus,EN,,3,CITES ID Manual,General,A-303.016.001.015 Varanus griseus_EN.pdf
1986,A-303.016.001.015,Manual de identificación de la CITES - Varanus griseus,ES,A-303.016.001.015,3,CITES ID Manual,General,A-303.016.001.015 Varanus griseus_S.pdf
1986,A-303.016.001.016,CITES ID Manual - Varanus indicus,EN,,3,CITES ID Manual,General,A-303.016.001.016 Varanus indicus_EN.pdf
1986,A-303.016.001.016,Manual de identificación de la CITES - Varanus indicus,ES,A-303.016.001.016,3,CITES ID Manual,General,A-303.016.001.016 Varanus indicus_S.pdf
1985,A-303.016.001.017,CITES ID Manual - Varanus jobiensis,EN,,3,CITES ID Manual,General,A-303.016.001.017 Varanus jobiensis_EN.pdf
1985,A-303.016.001.017,Manual de identificación de la CITES - Varanus jobiensis,ES,A-303.016.001.017,3,CITES ID Manual,General,A-303.016.001.017 Varanus jobiensis_S.pdf
1985,A-303.016.001.017,Manuel d'identification de la CITES - Varanus jobiensis,FR,A-303.016.001.017,3,CITES ID Manual,General,A-303.016.001.017 Varanus jobiensis_F.pdf
1985,A-303.016.001.018,CITES ID Manual - Varanus kingorum,EN,,3,CITES ID Manual,General,A-303.016.001.018 Varanus kingorum_EN.pdf
1985,A-303.016.001.018,Manual de identificación de la CITES - Varanus kingorum,ES,A-303.016.001.018,3,CITES ID Manual,General,A-303.016.001.018 Varanus kingorum_S.pdf
1986,A-303.016.001.019,CITES ID Manual - Varanus komodoensis,EN,,3,CITES ID Manual,General,A-303.016.001.019 Varanus komodoensis_EN.pdf
1986,A-303.016.001.019,Manual de identificación de la CITES - Varanus komodoensis,ES,A-303.016.001.019,3,CITES ID Manual,General,A-303.016.001.019 Varanus komodoensis_S.pdf
1986,A-303.016.001.019,Manuel d'identification de la CITES - Varanus komodoensis,FR,A-303.016.001.019,3,CITES ID Manual,General,A-303.016.001.019 Varanus komodoensis_F.pdf
1985,A-303.016.001.020,CITES ID Manual - Varanus mertensi,EN,,3,CITES ID Manual,General,A-303.016.001.020 Varanus mertensi_EN.pdf
