Kingdom,OrdName,FamName,GenName,SpcName,SpcInfraRank,SpcInfraEpithet,SpcRecID,SpcStatus,AcceptedSpcRecID,,
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,corozalus,NULL,NULL,72801,S,18849
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,gularis,NULL,NULL,18285,S,18275
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,hendeei,NULL,NULL,18286,S,18299
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,oris,NULL,NULL,18294,S,101514
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,amphichoricus,NULL,NULL,18273,S,18296
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,bolivianus,NULL,NULL,18274,S,18275
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,gorgonae,NULL,NULL,18283,S,18297
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Promops,pamana,NULL,NULL,43914,S,18341
Animalia,CHORDATA,MAMMALIA,PRIMATES,INDRIIDAE,Propithecus,diadema,ssp.,perrieri,98466,S,18361
Animalia,CHORDATA,MAMMALIA,PRIMATES,INDRIIDAE,Propithecus,verreauxi,ssp.,coquereli,98463,S,18355
Animalia,CHORDATA,MAMMALIA,PRIMATES,INDRIIDAE,Propithecus,verreauxi,ssp.,deckenii,98464,S,18357
Animalia,CHORDATA,MAMMALIA,PRIMATES,INDRIIDAE,Propithecus,diadema,ssp.,edwardsi,98465,S,18359
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,vetulus,NULL,NULL,99524,S,18442
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,fulvipes,NULL,NULL,101182,S,28567
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,sechurae,NULL,NULL,101183,S,30122
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,griseus,NULL,NULL,76992,S,18440
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,gymnocercus,NULL,NULL,76993,S,18441
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,culpaeus,NULL,NULL,87778,S,18439
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus,forbesi,NULL,NULL,100990,S,18495
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus,mayeri,NULL,NULL,100992,S,18496
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus,schlegeli,NULL,NULL,100993,S,18493
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus,dahli,NULL,NULL,43718,S,26392
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus,lemuroides,NULL,NULL,43719,S,9869
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus,cinereus,NULL,NULL,98363,S,18508
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus,archeri,NULL,NULL,43715,S,18502
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus,corinnae,NULL,NULL,43716,S,18504
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus,cupreus,NULL,NULL,43717,S,18505
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus,canescens,NULL,NULL,43658,S,18494
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus,albertisii,NULL,NULL,43714,S,18503
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus,occidentalis,NULL,NULL,18492,S,18499
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus,caroli,NULL,NULL,18497,S,18507
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PSEUDOCHEIRIDAE,Pseudocheirus,herbertensis,NULL,NULL,18498,S,18509
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pseudomys,fuscus,NULL,NULL,44209,S,18563
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pseudomys,praeconis,NULL,NULL,104321,S,18556
