Kingdom,PhyName,ClaName,OrdName,FamName,GenName,Spcname,SpcInfraRank,SpcInfraepithet,Spcrecid,SpcStatus
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Cerdocyon,thous,NULL,NULL,4248,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,lupus,ssp.,monstrabilis,3751,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,lupus,ssp.,pallipes,3752,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Caracal,caracal,NULL,NULL,3847,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,lupus,NULL,NULL,3746,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,lupus,ssp.,crassodon,3749,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,lupus,ssp.,irremotus,3750,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,pajeros,NULL,NULL,101179,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,AILURIDAE,Ailurus,fulgens,NULL,NULL,714,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,aureus,NULL,NULL,3744,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Puma,yagouaroundi,ssp.,tolteca,32149,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Puma,concolor,ssp.,schorgeri,78891,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,braccatus,NULL,NULL,101175,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,zerda,NULL,NULL,23058,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,NULL,NULL,23062,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Lycalopex,fulvipes,NULL,NULL,28567,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,ssp.,griffithi,23055,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,ssp.,montana,23056,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,ssp.,pusilla,23057,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,bengalensis,NULL,NULL,23049,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,cana,NULL,NULL,23050,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,velox,ssp.,hebes,23054,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Acinonyx,jubatus,NULL,NULL,219,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Speothos,venaticus,NULL,NULL,20468,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Uncia,uncia,NULL,NULL,22732,A
